Job_Title, Company_Name, Job_Type
Illustrator Designer - 3 days a week,Smart EGAT -,Part Time
2D Illustrator - Alexandria,Arabic Localizer -,Full Time
Graphic Designer,Confidential -,Full Time
Creative Designer,realme -,Full Time
Graphic Designer,MWG -,Full Time
Senior Graphic Designer (Alexandria),Al Mostakbal Academy -,Full Time
Junior graphic designer,Premier Services and Recruitment -,Full Time
Graphic Designer,iCAREER -,Full Time
Senior Graphic Designer,Confidential -,Full Time
Graphic Designer,SalesHub Pro -,Full Time
Graphic Designer ( senior graphics & animation designer ),emtelak -,Full Time
Graphic Designer,Thaka International -,Full Time
2D Graphic Designer,Off-Beat -,Full Time
Graphic Designer/Packaging Designer,Nature's Rule Egypt LLC  -,Full Time
Senior Graphic Designer,Elkenany Group -,Full Time
Illustrator Designer - 3 days a week,Smart EGAT -,Part Time
2D Illustrator - Alexandria,Arabic Localizer -,Full Time
Graphic Designer,Confidential -,Full Time
Creative Designer,realme -,Full Time
Graphic Designer,MWG -,Full Time
Senior Graphic Designer (Alexandria),Al Mostakbal Academy -,Full Time
Junior graphic designer,Premier Services and Recruitment -,Full Time
Graphic Designer,iCAREER -,Full Time
Senior Graphic Designer,Confidential -,Full Time
Graphic Designer,SalesHub Pro -,Full Time
Graphic Designer ( senior graphics & animation designer ),emtelak -,Full Time
Graphic Designer,Thaka International -,Full Time
2D Graphic Designer,Off-Beat -,Full Time
Graphic Designer/Packaging Designer,Nature's Rule Egypt LLC  -,Full Time
Senior Graphic Designer,Elkenany Group -,Full Time
